,4% SWR,,,,,Dynamic SWR,,,,,3% SWR,,,,,,
Age,Historical account balance,CPI-adjusted,Withdrawals,CPI-adjusted,,Historical account balance,CPI-adjusted,Withdrawals,CPI-adjusted,,Historical account balance,CPI-adjusted,Withdrawals,CPI-adjusted,,CPI,CPI factor
77,0,0,0,0,,3846272.29,708873.7936,262020.1026,48290.70073,,5277740.292,972695.5087,162776.745,30000,,160.525,5.425891499
78,0,0,0,0,,4416873.971,801635.191,309422.5793,56158.27621,,6303169.579,1143986.127,165294.575,29999.93865,,163.008,5.509830432
79,0,0,0,0,,4602810.03,817453.5351,332237.7668,59005.0285,,6878102.729,1221542.787,168919.7228,29999.93997,,166.583,5.630668695
80,0,0,0,0,,4458904.5,766103.7969,332335.8089,57100.06236,,7005057.977,1203569.512,174607.4024,30000.05807,,172.192,5.82023548
81,0,0,0,0,,4555731.835,761297.2068,351451.3644,58730.1781,,7540817.435,1260127.562,179525.4352,30000.05648,,177.042,5.984169906
82,0,0,0,0,,4380439.822,720507.6657,350699.7572,57684.13074,,7669730.134,1261539.841,182390.0625,30000.0556,,179.867,6.079657484
83,0,0,0,0,,3751688,603226.5733,312640.5628,50268.86441,,6970713.607,1120807.402,186581.0377,30000,,184.000,6.219367923
84,0,0,0,0,,4152649.781,650347.9312,361407.9564,56600.22616,,8191840.077,1282926.933,191557.8841,29999.94706,,188.908,6.385274069
85,0,0,0,0,,4214723.536,638575.9431,384540.8872,58262.07996,,8893913.714,1347523.577,198006.0842,30000.05121,,195.267,6.600191539
86,0,0,0,0,,4091401.106,600541.291,393032.3945,57689.81714,,9288968.53,1363447.144,204385.3304,29999.95039,,201.558,6.812855614
87,0,0,0,0,,4252014.507,606700.691,432217.7141,61671.18795,,10444545.3,1490284.862,210252.4928,29999.97589,,207.344,7.008422061
88,0,0,0,0,,4138367.845,568786.0412,447726.6926,61536.50486,,11087832.83,1523935.227,218273.4494,29999.96516,,215.254,7.275790096
89,0,0,0,0,,2867628.176,395399.5823,332472.9193,45842.64254,,8445647.641,1164518.321,217574.7845,30000.04661,,214.565,7.25248155
90,0,0,0,0,,3097959.723,420280.3994,388069.7558,52646.94396,,10054705.03,1364057.581,221135.0346,29999.97707,,218.076,7.371173455
91,0,0,0,0,,3006351.93,395437.2023,410947.2613,54053.49709,,10909362.55,1434951.033,228078.0801,30000,,224.923,7.60260267
92,0,0,0,0,,2695327.749,347326.2416,407016.3894,52449.08448,,11092513.93,1429407.304,232806.4898,29999.98911,,229.586,7.760219143
93,0,0,0,0,,2575952.097,327147.329,436493.9896,55434.97605,,12224772.66,1552552.832,236219.7059,30000.0322,,232.952,7.873981748
94,0,0,0,0,,2560075.571,319962.1307,496861.0213,62098.44461,,14345502.46,1792922.672,240035.491,30000,,236.715,8.001183032
95,0,0,0,0,,2265822.219,282843.2716,518001.0966,64662.23326,,15490623.83,1933699.249,240326.5168,30000.03165,,237.002,8.010875444
96,0,0,0,0,,1748869.815,215594.3712,490524.1023,60470.04441,,15259447.49,1881129.721,243355.4166,29999.97917,,239.989,8.111852853
97,0,0,0,0,,1396889.576,168598.0471,512670.3546,61876.91717,,16669363.81,2011914.352,248559.4051,29999.9592,,245.121,8.28532477
98,0,0,0,0,,1014376.29,119514.748,547958.2691,64560.94755,,18837946.82,2219504.23,254623.2888,29999.95022,,251.101,8.487457045
99,0,0,0,0,,482369.5175,55821.86704,511311.6885,59171.17906,,19218873.19,2224090.34,259237.1134,30000.02934,,255.651,8.641228663
100,0,,,,,,,,,,,,,,,,
101,,,,,,,,,,,,,,,,,
